ISO3,Phone,Region Code,Region Name,Sub-region Code,Sub-region Name,Intermediate Region Code,Intermediate Region Name
JPN,81,142,Asia,30,Eastern Asia,,
JEY,-1490,150,Europe,154,Northern Europe,830,Channel Islands
JOR,962,142,Asia,145,Western Asia,,
KAZ,7,142,Asia,143,Central Asia,,
KEN,254,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
KIR,686,9,Oceania,57,Micronesia,,
XKX,,150,Europe,39,Southern Europe,,
KWT,965,142,Asia,145,Western Asia,,
KGZ,996,142,Asia,143,Central Asia,,
LAO,856,142,Asia,35,South-eastern Asia,,
LVA,371,150,Europe,154,Northern Europe,,
LBN,961,142,Asia,145,Western Asia,,
LSO,266,2,Africa,202,Sub-Saharan Africa,18,Southern Africa
LBR,231,2,Africa,202,Sub-Saharan Africa,11,Western Africa
LBY,218,2,Africa,15,Northern Africa,,
LIE,423,150,Europe,155,Western Europe,,
LTU,370,150,Europe,154,Northern Europe,,
LUX,352,150,Europe,155,Western Europe,,
MAC,853,142,Asia,30,Eastern Asia,,
MKD,389,150,Europe,39,Southern Europe,,
MDG,261,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
MWI,265,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
MYS,60,142,Asia,35,South-eastern Asia,,
MDV,960,142,Asia,34,Southern Asia,,
MLI,223,2,Africa,202,Sub-Saharan Africa,11,Western Africa
MLT,356,150,Europe,39,Southern Europe,,
MHL,692,9,Oceania,57,Micronesia,,
MTQ,596,19,Americas,419,Latin America and the Caribbean,29,Caribbean
MRT,222,2,Africa,202,Sub-Saharan Africa,11,Western Africa
MUS,230,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
MYT,262,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
MEX,52,19,Americas,419,Latin America and the Caribbean,13,Central America
FSM,691,9,Oceania,57,Micronesia,,
MDA,373,150,Europe,151,Eastern Europe,,
MCO,377,150,Europe,155,Western Europe,,
MNG,976,142,Asia,30,Eastern Asia,,
MNE,382,150,Europe,39,Southern Europe,,
MSR,-663,19,Americas,419,Latin America and the Caribbean,29,Caribbean
MAR,212,2,Africa,15,Northern Africa,,
MOZ,258,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
MMR,95,142,Asia,35,South-eastern Asia,,
NAM,264,2,Africa,202,Sub-Saharan Africa,18,Southern Africa
NRU,674,9,Oceania,57,Micronesia,,
NPL,977,142,Asia,34,Southern Asia,,
NLD,31,150,Europe,155,Western Europe,,
ANT,599,,,,,,
NCL,687,9,Oceania,54,Melanesia,,
NZL,64,9,Oceania,53,Australia and New Zealand,,
NIC,505,19,Americas,419,Latin America and the Caribbean,13,Central America
NER,227,2,Africa,202,Sub-Saharan Africa,11,Western Africa
NGA,234,2,Africa,202,Sub-Saharan Africa,11,Western Africa
NIU,683,9,Oceania,61,Polynesia,,
NFK,672,9,Oceania,53,Australia and New Zealand,,
PRK,850,142,Asia,30,Eastern Asia,,
MNP,-669,9,Oceania,57,Micronesia,,
NOR,47,150,Europe,154,Northern Europe,,
OMN,968,142,Asia,145,Western Asia,,
PAK,92,142,Asia,34,Southern Asia,,
PLW,680,9,Oceania,57,Micronesia,,
PSE,970,142,Asia,145,Western Asia,,
PAN,507,19,Americas,419,Latin America and the Caribbean,13,Central America
PNG,675,9,Oceania,54,Melanesia,,
PRY,595,19,Americas,419,Latin America and the Caribbean,5,South America
PER,51,19,Americas,419,Latin America and the Caribbean,5,South America
PHL,63,142,Asia,35,South-eastern Asia,,
PCN,870,9,Oceania,61,Polynesia,,
POL,48,150,Europe,151,Eastern Europe,,
PRT,351,150,Europe,39,Southern Europe,,
PRI,+1-787 and 1-939,19,Americas,419,Latin America and the Caribbean,29,Caribbean
QAT,974,142,Asia,145,Western Asia,,
COG,242,2,Africa,202,Sub-Saharan Africa,17,Middle Africa
REU,262,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
ROU,40,150,Europe,151,Eastern Europe,,
RUS,7,150,Europe,151,Eastern Europe,,
RWA,250,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
BLM,590,19,Americas,419,Latin America and the Caribbean,29,Caribbean
SHN,290,2,Africa,202,Sub-Saharan Africa,11,Western Africa
KNA,-868,19,Americas,419,Latin America and the Caribbean,29,Caribbean
LCA,-757,19,Americas,419,Latin America and the Caribbean,29,Caribbean
MAF,590,19,Americas,419,Latin America and the Caribbean,29,Caribbean
SPM,508,19,Americas,21,Northern America,,
VCT,-783,19,Americas,419,Latin America and the Caribbean,29,Caribbean
WSM,685,9,Oceania,61,Polynesia,,
SMR,378,150,Europe,39,Southern Europe,,
STP,239,2,Africa,202,Sub-Saharan Africa,17,Middle Africa
SAU,966,142,Asia,145,Western Asia,,
SEN,221,2,Africa,202,Sub-Saharan Africa,11,Western Africa
SRB,381,150,Europe,39,Southern Europe,,
SCG,381,,,,,,
SYC,248,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
SLE,232,2,Africa,202,Sub-Saharan Africa,11,Western Africa
SGP,65,142,Asia,35,South-eastern Asia,,
SXM,599,19,Americas,419,Latin America and the Caribbean,29,Caribbean
SVK,421,150,Europe,151,Eastern Europe,,
SVN,386,150,Europe,39,Southern Europe,,
SLB,677,9,Oceania,54,Melanesia,,
SOM,252,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
ZAF,27,2,Africa,202,Sub-Saharan Africa,18,Southern Africa
SGS,,19,Americas,419,Latin America and the Caribbean,5,South America
KOR,82,142,Asia,30,Eastern Asia,,
SSD,211,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
ESP,34,150,Europe,39,Southern Europe,,
LKA,94,142,Asia,34,Southern Asia,,
SDN,249,2,Africa,15,Northern Africa,,
SUR,597,19,Americas,419,Latin America and the Caribbean,5,South America
SJM,47,150,Europe,154,Northern Europe,,
SWZ,268,2,Africa,202,Sub-Saharan Africa,18,Southern Africa
SWE,46,150,Europe,154,Northern Europe,,
CHE,41,150,Europe,155,Western Europe,,
SYR,963,142,Asia,145,Western Asia,,
TWN,886,142,Asia,30,Eastern Asia,,
TJK,992,142,Asia,143,Central Asia,,
TZA,255,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
THA,66,142,Asia,35,South-eastern Asia,,
TLS,670,142,Asia,35,South-eastern Asia,,
TGO,228,2,Africa,202,Sub-Saharan Africa,11,Western Africa
TKL,690,9,Oceania,61,Polynesia,,
TON,676,9,Oceania,61,Polynesia,,
TTO,-867,19,Americas,419,Latin America and the Caribbean,29,Caribbean
TUN,216,2,Africa,15,Northern Africa,,
TUR,90,142,Asia,145,Western Asia,,
TKM,993,142,Asia,143,Central Asia,,
TCA,-648,19,Americas,419,Latin America and the Caribbean,29,Caribbean
TUV,688,9,Oceania,61,Polynesia,,
VIR,-339,19,Americas,419,Latin America and the Caribbean,29,Caribbean
UGA,256,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
UKR,380,150,Europe,151,Eastern Europe,,
ARE,971,142,Asia,145,Western Asia,,
GBR,44,150,Europe,154,Northern Europe,,
USA,1,19,Americas,21,Northern America,,
UMI,1,9,Oceania,57,Micronesia,,
URY,598,19,Americas,419,Latin America and the Caribbean,5,South America
UZB,998,142,Asia,143,Central Asia,,
VUT,678,9,Oceania,54,Melanesia,,
VAT,379,150,Europe,39,Southern Europe,,
VEN,58,19,Americas,419,Latin America and the Caribbean,5,South America
VNM,84,142,Asia,35,South-eastern Asia,,
WLF,681,9,Oceania,61,Polynesia,,
ESH,212,2,Africa,15,Northern Africa,,
YEM,967,142,Asia,145,Western Asia,,
ZMB,260,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
ZWE,263,2,Africa,202,Sub-Saharan Africa,14,Eastern Africa
